1790187509.622188000	318397	5216616448
1790187510.143759000	315311	5166055424
1790187510.662620000	323070	5293178880
1790187511.188066000	323297	5296898048
1790187511.772743000	320059	5243846656
1790187512.415352000	245224	4017750016
1790187512.937061000	240402	3938746368
1790187513.450516000	247888	4061396992
1790187513.969148000	253265	4149493760
1790187514.482271000	249482	4087513088
1790187515.000300000	245828	4027645952
1790187515.519375000	244208	4001103872
1790187516.033578000	247032	4047372288
1790187516.548937000	252019	4129079296
1790187517.083767000	256598	4204101632
1790187517.613469000	252371	4134846464
1790187518.141684000	244906	4012539904
1790187518.665451000	248749	4075503616
1790187519.190047000	252549	4137762816
1790187519.703471000	255359	4183801856
1790187520.221634000	247800	4059955200
1790187520.775164000	245031	4014587904
1790187521.336909000	252583	4138319872
1790187521.898796000	252763	4141268992
1790187522.420605000	235432	3857317888
1790187522.936519000	235423	3857170432
1790187523.452732000	235355	3856056320
1790187523.970893000	235355	3856056320
1790187524.484641000	235380	3856465920
1790187524.997248000	235357	3856089088
1790187525.517202000	243639	3991781376
1790187526.029709000	243655	3992043520
1790187526.538950000	239888	3930324992
1790187527.055886000	243712	3992977408
1790187527.574490000	243692	3992649728
1790187528.092965000	243713	3992993792
1790187528.614281000	239940	3931176960
1790187529.133786000	243756	3993698304
1790187529.653729000	243775	3994009600
1790187530.173383000	243787	3994206208
1790187530.690957000	239937	3931127808
1790187531.209014000	239950	3931340800
1790187531.716622000	243203	3984637952
1790187532.224024000	243215	3984834560
1790187532.734020000	239985	3931914240
1790187533.243183000	243965	3997122560
1790187533.761483000	243882	3995762688
1790187534.273696000	239950	3931340800
1790187534.788664000	239936	3931111424
1790187535.302914000	239948	3931308032
1790187535.817019000	239986	3931930624
1790187536.330103000	240025	3932569600
1790187536.846433000	240142	3934486528
1790187537.395669000	243999	3997679616
1790187538.111916000	244281	4002299904
1790187538.834869000	240412	3938910208
1790187539.526786000	236023	3867000832
1790187540.094891000	241028	3949002752
1790187540.629277000	240859	3946233856
1790187541.235911000	244942	4013129728
1790187541.911797000	240266	3936518144
1790187542.657318000	240123	3934175232
1790187543.376338000	240080	3933470720
1790187543.998807000	243227	3985031168
1790187544.563224000	268583	4400463872
1790187545.380564000	306801	5026627584
1790187546.143689000	349673	5729042432
1790187546.838908000	464227	7605895168
